,문화예술,스포츠,관광,취미오락,휴식,사회기타,여가비용,평일여가시간,휴일여가시간,평일여가충분도,휴일여가충분도,공공여가시설충분도,민간여가산업만족도,일과여가의균형_B,일과여가의균형_C,여가인식:삶의필수요건,여가인식:삶의영향력,성별 ,교육수준,배우자유무,주평균근무시간,여가생활만족도
470,0.0,0.23529411764705882,0.18181818181818182,0.47058823529411764,0.75,0.375,1.0,4.0,5.0,5,5,5.0,6.0,1,0,6,6,W,B,N,0.0,B
473,0.0,0.0,0.0,0.23529411764705882,0.375,0.125,2.0,4.0,5.0,4,4,2.5,4.0,1,0,5,4,M,A,N,1.0,A
478,0.0,0.0,0.09090909090909091,0.1764705882352941,0.625,0.375,1.0,1.0,1.0,5,5,5.0,5.0,0,0,6,6,M,B,Y,2.0,B
487,0.0,0.058823529411764705,0.0,0.29411764705882354,0.25,0.125,2.0,3.0,5.0,7,7,6.0,4.0,0,1,5,5,M,A,N,1.0,B
495,0.0,0.11764705882352941,0.09090909090909091,0.058823529411764705,0.25,0.25,3.0,4.0,4.0,7,7,4.0,4.666666666666667,0,1,4,4,M,B,N,0.0,A
503,0.0,0.058823529411764705,0.09090909090909091,0.23529411764705882,0.375,0.5,1.0,2.0,2.0,5,6,3.0,3.0,0,1,5,5,M,A,N,0.0,A
523,0.0,0.0,0.0,0.1764705882352941,0.125,0.25,2.0,1.0,1.0,5,5,6.0,5.0,1,0,5,5,W,B,Y,0.0,A
529,0.0,0.0,0.0,0.29411764705882354,0.75,0.5,2.0,1.0,1.0,5,5,6.0,6.0,0,0,3,5,W,B,Y,1.0,A
532,0.0,0.058823529411764705,0.0,0.1764705882352941,0.375,0.25,1.0,1.0,1.0,6,6,5.0,5.0,1,0,5,5,M,B,N,1.0,A
549,0.0,0.11764705882352941,0.18181818181818182,0.29411764705882354,0.875,0.375,1.0,2.0,2.0,6,6,6.0,5.333333333333333,0,1,6,5,W,A,N,1.0,B
554,0.0,0.058823529411764705,0.09090909090909091,0.11764705882352941,0.25,0.25,1.0,5.0,5.0,7,7,4.0,4.0,0,1,5,5,M,A,N,0.0,A
555,0.0,0.1764705882352941,0.09090909090909091,0.23529411764705882,0.5,0.375,3.0,2.0,4.0,7,7,4.5,7.0,0,0,5,6,M,B,Y,2.0,A
556,0.0,0.0,0.09090909090909091,0.1764705882352941,0.25,0.25,2.0,2.0,2.0,3,2,5.0,5.333333333333333,0,0,7,7,W,B,Y,0.0,A
557,0.0,0.0,0.2727272727272727,0.29411764705882354,0.375,0.375,1.0,2.0,2.0,7,7,4.0,6.0,0,0,6,6,W,B,Y,0.0,A
558,0.0,0.058823529411764705,0.0,0.11764705882352941,0.375,0.25,1.0,1.0,1.0,2,2,4.0,5.333333333333333,0,0,5,6,M,B,N,0.0,A
561,0.0,0.0,0.09090909090909091,0.1764705882352941,0.25,0.25,1.0,2.0,5.0,7,7,4.5,5.0,0,0,5,6,W,A,N,2.0,A
563,0.0,0.23529411764705882,0.0,0.3529411764705882,0.75,0.375,4.0,1.0,4.0,5,7,4.0,5.333333333333333,1,0,3,3,M,B,N,1.0,B
566,0.0,0.058823529411764705,0.09090909090909091,0.29411764705882354,0.375,0.375,1.0,1.0,1.0,2,2,3.5,3.0,0,0,6,6,W,B,Y,3.0,A
572,0.0,0.0,0.18181818181818182,0.1764705882352941,0.625,0.375,3.0,3.0,5.0,5,6,2.5,5.666666666666667,1,0,6,6,M,A,Y,1.0,A
573,0.0,0.0,0.18181818181818182,0.4117647058823529,0.5,0.375,2.0,5.0,5.0,5,5,5.0,6.0,1,0,4,5,W,A,N,0.0,B
602,0.09090909090909091,0.0,0.18181818181818182,0.4117647058823529,0.5,0.25,1.0,1.0,1.0,4,4,2.5,4.0,1,0,7,7,W,A,Y,0.0,A
606,0.0,0.0,0.09090909090909091,0.4117647058823529,0.625,0.25,1.0,1.0,2.0,5,5,2.5,4.0,1,0,6,4,W,A,N,0.0,A
614,0.0,0.1764705882352941,0.09090909090909091,0.29411764705882354,0.5,0.375,1.0,2.0,3.0,6,6,4.0,4.0,0,1,5,5,M,A,N,0.0,A
615,0.0,0.0,0.4545454545454546,0.3529411764705882,0.5,0.25,2.0,1.0,2.0,2,2,5.5,5.333333333333333,0,0,6,6,W,B,Y,0.0,A
633,0.0,0.0,0.0,0.1764705882352941,0.5,0.0,1.0,2.0,3.0,5,6,2.0,4.0,1,0,5,4,M,A,N,0.0,A
634,0.0,0.0,0.0,0.11764705882352941,0.375,0.125,1.0,1.0,1.0,2,2,1.0,2.3333333333333335,0,0,5,6,W,A,Y,0.0,A
640,0.0,0.0,0.09090909090909091,0.0,0.25,0.25,1.0,1.0,2.0,3,5,2.0,4.666666666666667,0,0,5,5,W,B,Y,1.0,A
646,0.0,0.0,0.2727272727272727,0.29411764705882354,0.25,0.25,2.0,1.0,1.0,5,5,1.0,3.0,0,0,4,6,W,B,Y,1.0,A
665,0.0,0.11764705882352941,0.09090909090909091,0.1764705882352941,0.75,0.25,1.0,2.0,2.0,6,5,4.0,5.0,0,1,5,5,M,B,N,0.0,B
682,0.0,0.058823529411764705,0.2727272727272727,0.5294117647058824,1.0,0.5,3.0,2.0,3.0,5,6,5.0,5.0,0,0,6,5,W,B,Y,0.0,B
683,0.0,0.0,0.0,0.29411764705882354,0.5,0.375,1.0,3.0,4.0,5,5,4.0,4.0,1,0,6,7,M,B,N,1.0,B
684,0.0,0.0,0.0,0.23529411764705882,0.75,0.5,1.0,3.0,3.0,6,6,4.5,4.0,0,1,6,6,W,B,N,0.0,A
692,0.0,0.058823529411764705,0.09090909090909091,0.1764705882352941,0.5,0.375,3.0,2.0,2.0,4,4,5.0,4.333333333333333,0,0,4,4,M,A,N,0.0,B
695,0.0,0.0,0.36363636363636365,0.4117647058823529,0.75,0.625,1.0,2.0,3.0,4,4,4.5,4.666666666666667,1,0,5,5,W,B,Y,3.0,A
698,0.0,0.0,0.18181818181818182,0.3529411764705882,0.75,0.5,1.0,2.0,3.0,5,5,5.0,4.666666666666667,1,0,6,6,W,B,Y,3.0,A
705,0.0,0.0,0.36363636363636365,0.23529411764705882,0.5,0.375,1.0,2.0,3.0,7,7,4.0,5.666666666666667,1,0,7,7,W,B,Y,0.0,B
708,0.09090909090909091,0.058823529411764705,0.0,0.23529411764705882,0.75,0.5,1.0,2.0,3.0,4,4,5.0,4.666666666666667,1,0,6,6,W,B,Y,0.0,A
714,0.0,0.058823529411764705,0.09090909090909091,0.23529411764705882,0.5,0.5,3.0,1.0,2.0,6,6,5.0,5.0,0,0,6,6,M,B,Y,1.0,B
719,0.0,0.0,0.0,0.3529411764705882,0.875,0.5,1.0,1.0,2.0,1,4,5.0,4.666666666666667,0,1,6,6,W,B,Y,0.0,A
725,0.0,0.058823529411764705,0.18181818181818182,0.5294117647058824,0.75,0.375,4.0,3.0,4.0,5,6,5.0,5.333333333333333,0,0,6,5,M,B,N,0.0,B
735,0.0,0.0,0.09090909090909091,0.058823529411764705,0.625,0.125,1.0,3.0,3.0,4,4,4.0,4.0,1,0,5,5,W,A,N,0.0,A
758,0.0,0.0,0.0,0.1764705882352941,0.25,0.5,3.0,1.0,2.0,2,2,1.5,2.3333333333333335,0,1,4,4,W,B,Y,1.0,A
764,0.0,0.11764705882352941,0.09090909090909091,0.1764705882352941,0.375,0.5,3.0,1.0,2.0,4,4,1.5,2.6666666666666665,0,1,4,4,M,B,N,2.0,A
776,0.0,0.0,0.2727272727272727,0.1764705882352941,0.875,0.5,3.0,2.0,4.0,6,7,5.0,6.333333333333333,1,0,5,5,M,B,Y,2.0,A
780,0.0,0.058823529411764705,0.18181818181818182,0.11764705882352941,0.125,0.25,2.0,1.0,1.0,1,1,4.0,3.3333333333333335,0,0,7,7,M,A,Y,2.0,B
783,0.0,0.0,0.2727272727272727,0.29411764705882354,0.375,0.5,2.0,2.0,4.0,3,3,4.0,5.333333333333333,0,0,4,4,W,B,Y,0.0,A
784,0.0,0.0,0.36363636363636365,0.1764705882352941,0.625,0.5,1.0,2.0,3.0,2,2,4.0,5.333333333333333,0,0,4,5,W,B,Y,0.0,A
793,0.0,0.0,0.2727272727272727,0.4117647058823529,0.625,0.5,2.0,1.0,5.0,2,5,4.0,4.0,0,0,6,5,M,B,Y,2.0,A
794,0.0,0.058823529411764705,0.0,0.23529411764705882,0.75,0.375,3.0,1.0,1.0,4,2,4.0,4.0,0,0,6,6,M,B,N,3.0,A
809,0.0,0.058823529411764705,0.5454545454545454,0.1764705882352941,0.25,0.5,3.0,3.0,3.0,5,5,4.5,4.333333333333333,0,0,5,5,W,A,Y,3.0,B
825,0.0,0.0,0.0,0.23529411764705882,0.625,0.5,4.0,1.0,2.0,4,4,4.5,4.0,1,0,4,4,W,A,N,1.0,A
826,0.0,0.058823529411764705,0.09090909090909091,0.3529411764705882,0.5,0.375,4.0,1.0,3.0,4,4,4.5,4.0,1,0,4,4,W,A,N,3.0,A
836,0.0,0.0,0.2727272727272727,0.058823529411764705,0.25,0.25,1.0,2.0,3.0,5,5,5.0,4.333333333333333,0,0,5,6,W,B,Y,0.0,B
848,0.0,0.0,0.0,0.058823529411764705,0.25,0.25,3.0,1.0,1.0,3,3,3.5,4.0,0,0,5,5,M,B,N,3.0,A
853,0.0,0.058823529411764705,0.36363636363636365,0.058823529411764705,0.625,0.25,4.0,1.0,1.0,1,1,4.0,5.333333333333333,0,0,5,5,W,A,Y,0.0,A
854,0.0,0.058823529411764705,0.36363636363636365,0.3529411764705882,1.0,0.375,2.0,1.0,1.0,1,2,3.5,4.0,0,0,5,5,M,A,Y,3.0,A
878,0.0,0.058823529411764705,0.0,0.4117647058823529,0.5,0.375,1.0,1.0,4.0,4,7,3.0,5.0,0,0,5,6,M,A,N,1.0,A
880,0.0,0.11764705882352941,0.18181818181818182,0.4117647058823529,0.75,0.375,1.0,1.0,2.0,1,4,3.5,4.0,0,0,5,7,W,A,Y,0.0,A
882,0.0,0.1764705882352941,0.0,0.29411764705882354,0.5,0.375,2.0,1.0,4.0,4,6,4.0,6.0,1,0,4,6,M,B,N,2.0,B
892,0.0,0.058823529411764705,0.0,0.1764705882352941,0.75,0.375,1.0,1.0,1.0,1,1,3.0,2.6666666666666665,0,1,6,6,W,B,Y,0.0,A
894,0.0,0.11764705882352941,0.2727272727272727,0.29411764705882354,0.625,0.375,3.0,1.0,1.0,1,1,4.5,4.333333333333333,1,0,6,6,W,B,Y,0.0,A
907,0.0,0.11764705882352941,0.0,0.3529411764705882,0.75,0.5,1.0,1.0,2.0,2,2,3.0,2.6666666666666665,0,0,5,5,M,B,N,2.0,A
943,0.09090909090909091,0.0,0.2727272727272727,0.29411764705882354,0.25,0.25,4.0,1.0,1.0,5,5,1.0,4.0,1,0,7,7,W,B,Y,0.0,B
977,0.0,0.0,0.18181818181818182,0.3529411764705882,0.25,0.25,3.0,2.0,2.0,6,6,6.0,6.0,1,0,6,6,W,A,Y,0.0,B
978,0.0,0.0,0.09090909090909091,0.29411764705882354,0.375,0.125,4.0,1.0,1.0,6,6,7.0,6.0,1,0,5,5,W,B,Y,0.0,A
979,0.09090909090909091,0.0,0.0,0.29411764705882354,0.25,0.25,2.0,2.0,2.0,7,7,6.0,5.0,0,1,5,5,W,B,N,1.0,B
980,0.0,0.058823529411764705,0.36363636363636365,0.3529411764705882,0.375,0.25,1.0,3.0,4.0,6,6,6.0,6.0,0,1,6,6,W,B,N,0.0,B
981,0.0,0.0,0.09090909090909091,0.47058823529411764,0.5,0.25,2.0,1.0,2.0,6,6,5.0,6.0,0,1,6,5,W,B,N,1.0,B
982,0.0,0.0,0.0,0.3529411764705882,0.375,0.25,1.0,1.0,2.0,6,6,7.0,6.0,1,0,4,5,M,B,N,0.0,A
983,0.0,0.0,0.0,0.29411764705882354,0.25,0.125,1.0,1.0,2.0,6,6,5.0,4.0,1,0,5,5,M,B,N,0.0,B
984,0.0,0.0,0.0,0.1764705882352941,0.5,0.25,1.0,1.0,1.0,5,5,5.0,4.0,1,0,4,5,M,B,N,0.0,A
989,0.0,0.0,0.0,0.29411764705882354,0.625,0.5,2.0,2.0,5.0,5,6,4.0,4.0,0,0,5,5,W,B,Y,1.0,A
990,0.18181818181818182,0.058823529411764705,0.18181818181818182,0.3529411764705882,0.5,0.25,4.0,3.0,5.0,6,6,4.5,4.333333333333333,1,0,6,6,W,B,N,2.0,B
993,0.0,0.0,0.18181818181818182,0.23529411764705882,0.625,0.25,1.0,1.0,1.0,2,4,5.0,5.333333333333333,1,0,4,5,W,A,Y,0.0,A
1013,0.0,0.1764705882352941,0.09090909090909091,0.1764705882352941,0.5,0.375,2.0,1.0,1.0,4,4,4.0,4.0,1,0,4,4,M,A,Y,2.0,A
1022,0.0,0.058823529411764705,0.2727272727272727,0.23529411764705882,0.75,0.375,2.0,1.0,3.0,3,4,4.0,5.0,0,0,7,7,M,A,Y,2.0,A
1038,0.0,0.058823529411764705,0.2727272727272727,0.4117647058823529,0.625,0.5,2.0,1.0,2.0,5,6,4.0,5.0,0,1,6,6,W,B,N,2.0,B
1044,0.0,0.0,0.0,0.23529411764705882,0.625,0.375,2.0,2.0,2.0,4,4,3.0,4.0,0,0,4,5,M,A,N,2.0,A
1050,0.0,0.0,0.09090909090909091,0.1764705882352941,0.625,0.375,3.0,3.0,3.0,4,4,4.0,6.0,1,0,6,6,W,B,Y,0.0,A
1051,0.0,0.058823529411764705,0.09090909090909091,0.3529411764705882,0.625,0.375,4.0,2.0,5.0,4,7,3.5,4.333333333333333,1,0,7,7,W,B,N,0.0,B
1072,0.0,0.0,0.6363636363636364,0.1764705882352941,0.625,0.375,3.0,1.0,2.0,4,4,3.5,4.0,1,0,6,6,W,B,Y,0.0,B
1073,0.0,0.0,0.4545454545454546,0.4117647058823529,0.75,0.875,3.0,1.0,2.0,4,4,5.5,5.666666666666667,0,0,6,6,W,B,Y,3.0,A
1080,0.0,0.0,0.4545454545454546,0.5294117647058824,0.75,0.625,3.0,1.0,2.0,4,4,5.5,5.666666666666667,1,0,6,6,M,B,N,3.0,A
1081,0.09090909090909091,0.058823529411764705,0.09090909090909091,0.29411764705882354,0.5,0.5,3.0,2.0,4.0,4,4,4.0,3.6666666666666665,0,0,6,5,M,B,N,0.0,A
1086,0.0,0.058823529411764705,0.36363636363636365,0.23529411764705882,0.5,0.0,1.0,1.0,2.0,5,5,6.0,4.0,1,0,4,5,W,B,Y,1.0,B
1087,0.09090909090909091,0.0,0.2727272727272727,0.11764705882352941,0.5,0.0,2.0,1.0,2.0,6,6,6.0,5.666666666666667,1,0,5,5,W,B,N,1.0,A
1104,0.0,0.058823529411764705,0.09090909090909091,0.3529411764705882,0.875,0.5,2.0,2.0,2.0,6,2,4.0,3.6666666666666665,0,0,4,6,M,A,Y,3.0,A
1110,0.0,0.0,0.0,0.0,0.5,0.375,1.0,1.0,1.0,4,4,3.0,3.3333333333333335,0,0,4,5,W,A,Y,0.0,A
1122,0.0,0.0,0.0,0.1764705882352941,0.375,0.0,1.0,1.0,1.0,5,5,4.0,3.6666666666666665,1,0,4,5,M,B,Y,2.0,A
1126,0.0,0.0,0.18181818181818182,0.058823529411764705,0.5,0.25,2.0,1.0,2.0,4,4,3.5,5.0,0,0,5,5,M,B,N,3.0,A
1127,0.0,0.0,0.2727272727272727,0.11764705882352941,0.25,0.25,3.0,1.0,2.0,5,5,5.0,4.666666666666667,0,1,5,5,M,B,N,2.0,B
1128,0.0,0.0,0.2727272727272727,0.058823529411764705,0.5,0.25,2.0,1.0,2.0,4,4,5.0,5.0,1,0,6,5,W,B,Y,0.0,B
1138,0.0,0.0,0.18181818181818182,0.058823529411764705,0.5,0.125,2.0,1.0,1.0,3,3,4.0,5.0,0,0,5,4,M,A,N,3.0,A
1139,0.0,0.058823529411764705,0.18181818181818182,0.11764705882352941,0.125,0.25,3.0,1.0,2.0,4,5,5.5,4.333333333333333,0,1,6,5,M,B,N,2.0,B
1140,0.0,0.058823529411764705,0.36363636363636365,0.058823529411764705,0.25,0.125,3.0,1.0,3.0,4,5,5.0,5.0,1,0,5,5,M,B,N,1.0,B
1148,0.0,0.058823529411764705,0.09090909090909091,0.1764705882352941,0.25,0.125,3.0,1.0,2.0,5,5,4.5,4.666666666666667,1,0,5,5,M,B,N,0.0,B
1169,0.0,0.0,0.0,0.058823529411764705,0.625,0.375,1.0,1.0,1.0,4,4,4.0,4.0,1,0,5,5,W,B,Y,0.0,A
1170,0.0,0.0,0.0,0.1764705882352941,0.375,0.375,1.0,1.0,1.0,4,4,4.0,4.0,1,0,4,4,W,B,Y,0.0,A
1171,0.0,0.0,0.0,0.1764705882352941,0.5,0.375,1.0,1.0,1.0,4,4,4.0,4.0,1,0,5,5,W,A,Y,0.0,A
1172,0.0,0.0,0.0,0.23529411764705882,0.625,0.375,2.0,1.0,1.0,4,4,4.0,4.0,1,0,5,5,W,B,Y,0.0,A
1173,0.0,0.0,0.0,0.1764705882352941,0.625,0.375,1.0,1.0,1.0,4,4,4.0,4.0,1,0,4,4,W,B,Y,0.0,A
1174,0.0,0.11764705882352941,0.0,0.11764705882352941,0.25,0.25,1.0,1.0,2.0,4,4,4.0,4.333333333333333,0,0,4,4,M,A,N,3.0,A
1175,0.0,0.11764705882352941,0.09090909090909091,0.29411764705882354,0.375,0.625,1.0,1.0,2.0,3,5,3.5,3.0,0,0,6,5,M,B,N,3.0,A
1189,0.0,0.23529411764705882,0.0,0.058823529411764705,0.5,0.5,2.0,1.0,1.0,4,4,4.0,4.0,1,0,5,5,M,B,Y,2.0,A
1195,0.0,0.0,0.0,0.23529411764705882,0.375,0.25,3.0,1.0,1.0,2,2,2.0,5.666666666666667,0,0,7,7,M,A,N,3.0,A
1199,0.0,0.0,0.18181818181818182,0.1764705882352941,0.25,0.25,3.0,1.0,2.0,4,4,3.5,5.666666666666667,1,0,5,6,W,B,Y,1.0,A
1200,0.09090909090909091,0.0,0.0,0.11764705882352941,0.375,0.125,1.0,1.0,1.0,2,4,5.0,4.666666666666667,0,0,5,5,M,B,Y,2.0,A
1206,0.0,0.23529411764705882,0.5454545454545454,0.29411764705882354,0.75,0.5,4.0,1.0,5.0,5,5,1.0,2.0,1,0,4,4,M,B,Y,2.0,A
1250,0.0,0.058823529411764705,0.18181818181818182,0.5294117647058824,0.5,0.625,1.0,1.0,2.0,3,4,3.0,2.3333333333333335,1,0,5,5,M,A,Y,1.0,B
1259,0.0,0.0,0.09090909090909091,0.47058823529411764,0.625,0.375,1.0,1.0,2.0,2,4,3.5,4.0,0,0,6,6,M,B,Y,2.0,A
1260,0.0,0.0,0.09090909090909091,0.3529411764705882,0.5,0.375,1.0,1.0,2.0,2,2,3.0,3.3333333333333335,1,0,5,5,W,A,Y,0.0,A
1268,0.0,0.0,0.4545454545454546,0.29411764705882354,0.625,0.5,4.0,1.0,5.0,2,6,2.0,3.3333333333333335,1,0,6,6,W,B,N,0.0,A
1276,0.0,0.058823529411764705,0.18181818181818182,0.058823529411764705,0.375,0.375,1.0,1.0,3.0,4,4,3.0,4.0,1,0,6,6,M,A,N,1.0,A
1280,0.0,0.23529411764705882,0.6363636363636364,0.47058823529411764,0.25,0.375,1.0,1.0,1.0,2,2,3.0,4.666666666666667,0,0,7,7,W,B,Y,1.0,A
1283,0.09090909090909091,0.0,0.5454545454545454,0.47058823529411764,0.375,0.375,2.0,1.0,1.0,2,2,3.5,6.333333333333333,1,0,6,6,W,B,Y,0.0,A
1290,0.09090909090909091,0.1764705882352941,0.36363636363636365,0.4117647058823529,0.625,0.375,2.0,1.0,1.0,3,3,5.0,4.333333333333333,0,1,5,5,W,B,Y,0.0,A
1294,0.0,0.058823529411764705,0.18181818181818182,0.3529411764705882,0.5,0.375,4.0,2.0,3.0,5,7,4.0,7.0,0,0,7,7,M,B,N,1.0,A
1303,0.0,0.0,0.36363636363636365,0.3529411764705882,0.75,0.5,1.0,1.0,2.0,5,5,3.0,5.0,0,0,5,5,W,A,Y,1.0,A
1307,0.0,0.0,0.36363636363636365,0.5294117647058824,0.625,0.375,1.0,1.0,1.0,2,2,4.5,5.0,0,0,6,6,W,B,Y,0.0,A
1308,0.0,0.11764705882352941,0.36363636363636365,0.29411764705882354,0.625,0.5,2.0,1.0,1.0,4,4,4.0,4.333333333333333,1,0,6,6,W,A,Y,3.0,A
1309,0.09090909090909091,0.058823529411764705,0.36363636363636365,0.5294117647058824,0.875,0.375,3.0,1.0,3.0,5,6,4.0,5.333333333333333,1,0,7,7,M,B,Y,2.0,B
1378,0.0,0.058823529411764705,0.4545454545454546,0.29411764705882354,0.75,0.375,1.0,1.0,1.0,1,1,4.0,6.0,0,0,4,5,W,A,Y,3.0,A
1382,0.0,0.0,0.18181818181818182,0.29411764705882354,0.75,0.5,2.0,1.0,2.0,2,3,1.5,5.0,0,0,5,7,W,A,Y,2.0,A
1388,0.0,0.058823529411764705,0.18181818181818182,0.23529411764705882,0.375,0.375,4.0,2.0,3.0,6,6,5.0,5.666666666666667,0,0,4,5,M,A,Y,2.0,A
1401,0.0,0.11764705882352941,0.09090909090909091,0.3529411764705882,0.75,0.5,1.0,2.0,3.0,7,6,3.5,3.6666666666666665,1,0,6,6,M,A,Y,1.0,B
1404,0.0,0.0,0.2727272727272727,0.1764705882352941,0.5,0.25,2.0,1.0,2.0,5,5,5.0,5.666666666666667,0,1,5,5,W,A,N,3.0,B
1417,0.0,0.0,0.2727272727272727,0.23529411764705882,0.625,0.25,1.0,1.0,2.0,2,5,3.0,5.333333333333333,0,1,5,6,M,B,N,0.0,B
1431,0.0,0.11764705882352941,0.09090909090909091,0.23529411764705882,0.75,0.375,3.0,1.0,2.0,2,2,3.0,3.0,0,0,7,7,M,B,Y,0.0,A
1445,0.0,0.058823529411764705,0.0,0.1764705882352941,0.25,0.125,1.0,3.0,5.0,4,5,4.0,4.0,1,0,6,7,M,B,N,0.0,B
1447,0.0,0.058823529411764705,0.18181818181818182,0.29411764705882354,0.375,0.25,4.0,2.0,2.0,4,4,5.0,4.0,0,0,7,7,W,B,Y,0.0,A
1464,0.0,0.058823529411764705,0.0,0.29411764705882354,0.375,0.125,2.0,1.0,2.0,6,6,5.5,4.333333333333333,0,1,4,5,W,A,N,1.0,A
1477,0.0,0.0,0.0,0.11764705882352941,0.375,0.375,1.0,1.0,1.0,5,5,3.0,3.0,1,0,5,5,W,B,Y,0.0,B
1479,0.0,0.0,0.0,0.3529411764705882,0.375,0.375,1.0,2.0,3.0,4,4,5.5,5.333333333333333,0,1,5,5,W,B,N,1.0,B
1480,0.0,0.11764705882352941,0.18181818181818182,0.47058823529411764,0.75,0.375,2.0,2.0,2.0,4,4,4.0,4.0,1,0,4,4,M,B,Y,0.0,A
1486,0.0,0.0,0.0,0.29411764705882354,0.5,0.375,1.0,2.0,3.0,4,5,4.0,4.666666666666667,0,0,6,6,W,A,Y,0.0,A
